id,constraint1,constraint2,constraint3,constraint4,constraint5,probability,id_word
2686069,3,3,3,3,3,0.5719241499900818,11286
2686070,3,3,3,3,2,0,11286
2686071,3,3,3,3,1,0,11286
2686072,3,3,3,2,3,0,11286
2686073,3,3,3,2,2,0,11286
2686074,3,3,3,2,1,0,11286
2686075,3,3,3,1,3,0,11286
2686076,3,3,3,1,2,0,11286
2686077,3,3,3,1,1,0,11286
2686078,3,3,2,3,3,0.010946654714643955,11286
2686079,3,3,2,3,2,0,11286
2686080,3,3,2,3,1,0,11286
2686081,3,3,2,2,3,0,11286
2686082,3,3,2,2,2,0,11286
2686083,3,3,2,2,1,0,11286
2686084,3,3,2,1,3,0,11286
2686085,3,3,2,1,2,0,11286
2686086,3,3,2,1,1,0,11286
2686087,3,3,1,3,3,0.0014646932249888778,11286
2686088,3,3,1,3,2,0,11286
2686089,3,3,1,3,1,0,11286
2686090,3,3,1,2,3,0,11286
2686091,3,3,1,2,2,0,11286
2686092,3,3,1,2,1,0,11286
2686093,3,3,1,1,3,0,11286
2686094,3,3,1,1,2,0,11286
2686095,3,3,1,1,1,0,11286
2686096,3,2,3,3,3,0,11286
2686097,3,2,3,3,2,0,11286
2686098,3,2,3,3,1,0,11286
2686099,3,2,3,2,3,0.1645081788301468,11286
2686100,3,2,3,2,2,0,11286
2686101,3,2,3,2,1,0,11286
2686102,3,2,3,1,3,0.06529448181390762,11286
2686103,3,2,3,1,2,0,11286
2686104,3,2,3,1,1,0,11286
2686105,3,2,2,3,3,0,11286
2686106,3,2,2,3,2,0,11286
2686107,3,2,2,3,1,0,11286
2686108,3,2,2,2,3,0.0016188714653253555,11286
2686109,3,2,2,2,2,0,11286
2686110,3,2,2,2,1,0,11286
2686111,3,2,2,1,3,0.0011563367443159223,11286
2686112,3,2,2,1,2,0,11286
2686113,3,2,2,1,1,0,11286
2686114,3,2,1,3,3,0,11286
2686115,3,2,1,3,2,0,11286
2686116,3,2,1,3,1,0,11286
2686117,3,2,1,2,3,0.00015417822578456253,11286
2686118,3,2,1,2,2,0,11286
2686119,3,2,1,2,1,0,11286
2686120,3,2,1,1,3,0.0006167129031382501,11286
2686121,3,2,1,1,2,0,11286
2686122,3,2,1,1,1,0,11286
2686123,3,1,3,3,3,0,11286
2686124,3,1,3,3,2,0,11286
2686125,3,1,3,3,1,0,11286
2686126,3,1,3,2,3,0.15371569991111755,11286
2686127,3,1,3,2,2,0,11286
2686128,3,1,3,2,1,0,11286
2686129,3,1,3,1,3,0.013798951171338558,11286
2686130,3,1,3,1,2,0,11286
2686131,3,1,3,1,1,0,11286
2686132,3,1,2,3,3,0,11286
2686133,3,1,2,3,2,0,11286
2686134,3,1,2,3,1,0,11286
2686135,3,1,2,2,3,0.0043940795585513115,11286
2686136,3,1,2,2,2,0,11286
2686137,3,1,2,2,1,0,11286
2686138,3,1,2,1,3,0.0006167129031382501,11286
2686139,3,1,2,1,2,0,11286
2686140,3,1,2,1,1,0,11286
2686141,3,1,1,3,3,0,11286
2686142,3,1,1,3,2,0,11286
2686143,3,1,1,3,1,0,11286
2686144,3,1,1,2,3,0.0010021585039794445,11286
2686145,3,1,1,2,2,0,11286
2686146,3,1,1,2,1,0,11286
2686147,3,1,1,1,3,0.0002312673459528014,11286
2686148,3,1,1,1,2,0,11286
2686149,3,1,1,1,1,0,11286
2686150,2,3,3,3,3,0,11286
2686151,2,3,3,3,2,0.001387604046612978,11286
2686152,2,3,3,3,1,0,11286
2686153,2,3,3,2,3,0,11286
2686154,2,3,3,2,2,0,11286
2686155,2,3,3,2,1,0,11286
2686156,2,3,3,1,3,0,11286
2686157,2,3,3,1,2,0,11286
2686158,2,3,3,1,1,0,11286
2686159,2,3,2,3,3,0,11286
2686160,2,3,2,3,2,0,11286
2686161,2,3,2,3,1,0,11286
2686162,2,3,2,2,3,0,11286
2686163,2,3,2,2,2,0,11286
2686164,2,3,2,2,1,0,11286
2686165,2,3,2,1,3,0,11286
2686166,2,3,2,1,2,0,11286
2686167,2,3,2,1,1,0,11286
2686168,2,3,1,3,3,0,11286
2686169,2,3,1,3,2,0,11286
2686170,2,3,1,3,1,0,11286
2686171,2,3,1,2,3,0,11286
2686172,2,3,1,2,2,0,11286
2686173,2,3,1,2,1,0,11286
2686174,2,3,1,1,3,0,11286
2686175,2,3,1,1,2,0,11286
2686176,2,3,1,1,1,0,11286
2686177,2,2,3,3,3,0,11286
2686178,2,2,3,3,2,0,11286
2686179,2,2,3,3,1,0,11286
2686180,2,2,3,2,3,0,11286
2686181,2,2,3,2,2,0.00007708911289228126,11286
2686182,2,2,3,2,1,0.00007708911289228126,11286
2686183,2,2,3,1,3,0,11286
2686184,2,2,3,1,2,0.0006167129031382501,11286
2686185,2,2,3,1,1,0.00007708911289228126,11286
2686186,2,2,2,3,3,0,11286
2686187,2,2,2,3,2,0,11286
2686188,2,2,2,3,1,0,11286
2686189,2,2,2,2,3,0,11286
2686190,2,2,2,2,2,0,11286
2686191,2,2,2,2,1,0,11286
2686192,2,2,2,1,3,0,11286
2686193,2,2,2,1,2,0,11286
2686194,2,2,2,1,1,0,11286
2686195,2,2,1,3,3,0,11286
2686196,2,2,1,3,2,0,11286
2686197,2,2,1,3,1,0,11286
2686198,2,2,1,2,3,0,11286
2686199,2,2,1,2,2,0,11286
2686200,2,2,1,2,1,0,11286
2686201,2,2,1,1,3,0,11286
2686202,2,2,1,1,2,0,11286
2686203,2,2,1,1,1,0,11286
2686204,2,1,3,3,3,0,11286
2686205,2,1,3,3,2,0,11286
2686206,2,1,3,3,1,0,11286
2686207,2,1,3,2,3,0,11286
2686208,2,1,3,2,2,0.0002312673459528014,11286
2686209,2,1,3,2,1,0,11286
2686210,2,1,3,1,3,0,11286
2686211,2,1,3,1,2,0,11286
2686212,2,1,3,1,1,0.00007708911289228126,11286
2686213,2,1,2,3,3,0,11286
2686214,2,1,2,3,2,0,11286
2686215,2,1,2,3,1,0,11286
2686216,2,1,2,2,3,0,11286
2686217,2,1,2,2,2,0,11286
2686218,2,1,2,2,1,0,11286
2686219,2,1,2,1,3,0,11286
2686220,2,1,2,1,2,0,11286
2686221,2,1,2,1,1,0,11286
2686222,2,1,1,3,3,0,11286
2686223,2,1,1,3,2,0,11286
2686224,2,1,1,3,1,0,11286
2686225,2,1,1,2,3,0,11286
2686226,2,1,1,2,2,0,11286
2686227,2,1,1,2,1,0,11286
