word,count,probability
about,1226734006,0.019392700160005574
other,978481319,0.01546822272695175
which,810514085,0.012812929737814957
their,782849411,0.012375595543700914
there,701170205,0.011084378096790644
first,578161543,0.00913980813493905
would,572644147,0.009052586939660623
these,541003982,0.00855240659913283
click,536746424,0.00848510142514727
price,501651226,0.007930302545731493
state,453104133,0.007162850748044142
email,443949646,0.00701813296844289
world,431934249,0.006828188783163306
music,414028837,0.006545132892922202
after,372948094,0.0058957121322253244
video,365410017,0.005776547206227476
where,360468339,0.005698427190582213
books,347710184,0.005496741190765007
links,339926541,0.005373694259553152
years,337841309,0.005340730080894808
order,336631187,0.005321599989947427
items,330505325,0.005224759921598028
group,321842984,0.005087822182140984
under,313296421,0.004952714707458655
games,305930896,0.004836277552258422
could,302311431,0.004779059606769566
great,301487430,0.00476603347050336
hotel,297974790,0.004710504257196427
store,291308910,0.004605127369044377
terms,277705910,0.004390085722700259
right,273620358,0.004325499688126672
local,270742935,0.0042800122383620295
those,270014141,0.0042684911723026514
using,269448880,0.004259555301093791
phone,256643812,0.004057127681872414
forum,254478181,0.004022892523773917
based,252405204,0.003990122077040587
black,244690155,0.003868159507123249
check,244491090,0.003865012608253184
index,242826246,0.003838694090671318
being,242783091,0.0038380118792291375
women,242520455,0.003833860024650792
today,239271204,0.003782494569646361
south,238581133,0.003771585652206507
pages,234001114,0.0036991828861955285
found,232005894,0.0036676416531132147
house,231310420,0.00365664732289565
photo,227125249,0.0035904864714605507
power,226596368,0.003582125709793262
while,226194991,0.0035757805821828334
three,223417394,0.0035318712216182166
total,222649459,0.003519731399028694
place,220970235,0.0034931855566747608
think,217856550,0.0034439631830368144
north,217809513,0.003443219603391215
posts,216822128,0.0034276106277258845
media,216432510,0.003421451391074756
water,215178488,0.0034016273114282265
since,214302926,0.003387786078321092
guide,213378807,0.003373177236802465
board,212361059,0.003357088270730023
white,209863729,0.003317609482619712
small,208371878,0.0032940257073392504
times,202950880,0.0032083284100704
sites,202755734,0.0032052434643145026
level,202563642,0.003202206797407972
hours,198242904,0.0031339028487979894
image,197874283,0.0031280755410925554
title,196676017,0.003109132874519139
shall,191963867,0.0030346413289909146
class,191087771,0.0030207916541989204
still,190433487,0.0030104484719202605
money,190205072,0.003006837596550879
every,189325890,0.002992939137040763
visit,187062316,0.0029571556569568296
tools,185555874,0.0029333412213321934
reply,184777992,0.0029210441526016594
value,182061247,0.002878096764709492
press,179652730,0.0028400219679052723
learn,179428286,0.002836473867686787
print,178250872,0.0028178608378412666
stock,176295589,0.002786950944774394
point,175527859,0.0027748143629065876
sales,173244220,0.0027387136873044675
large,165863763,0.002622040481096133
table,165341452,0.002613783580607738
start,161913408,0.002559591694589942
model,161205740,0.00254840459675968
human,160573748,0.0025384138153029196
movie,158421100,0.002504383897643626
march,158281269,0.0025021733934570533
yahoo,155733641,0.0024618994745132633
going,155284081,0.002454792650832424
study,152978354,0.0024183427993217216
staff,151553180,0.002395813080635635
again,150781416,0.0023836127276878204
never,149556758,0.0023642528458581876
users,149320234,0.002360513780184447
topic,149001702,0.0023554782993571817
below,145701629,0.002303309429918398
party,144707500,0.0022875938424128162
login,144200144,0.002279573356525691
legal,142048771,0.0022455635945746294
above,141894620,0.002243126714119907
quote,139242226,0.002201196612486939
story,138433809,0.002188416834304731
rates,137089538,0.0021671660624917005
young,136341684,0.002155343688354743
field,135289140,0.0021387046532441332
paper,134939426,0.0021331762349312915
girls,132325396,0.0020918526067027453
night,130531484,0.002063493730728587
texas,129399241,0.002045594782056853
poker,129054826,0.0020401501324482656
issue,128427156,0.002030227674890314
range,128314924,0.0020284534666970854
court,127719981,0.002019048370600569
audio,127014703,0.002007899054842995
light,126699632,0.0020029182868833324
write,126645151,0.0020020570295184513
offer,126228968,0.001995477842758146
given,125542966,0.0019846332496922517
files,125524478,0.0019843409840186793
event,125515260,0.0019841952622002565
china,124472054,0.001967703845915903
needs,123595776,0.001953851293995361
might,123196001,0.0019475314914395117
month,123027963,0.0019448750797532385
major,122592252,0.001937987186584802
areas,121986327,0.0019284084826547087
space,121505269,0.00192080372603433
cards,121094522,0.0019143104737288897
child,119747393,0.0018930145215126208
enter,119394206,0.001887431200631393
share,119294241,0.00188585091406396
added,118410414,0.0018718790245422824
radio,113285624,0.0017908643014100413
until,113090086,0.0017877731587618874
color,112965658,0.001785806151339164
track,112385243,0.00177663071965771
least,111229798,0.001758364984521337
trade,110086585,0.0017402926177168087
green,108287905,0.00171185836729806
close,107853068,0.0017049842906700118
drive,107799371,0.0017041354270896443
short,106755242,0.0016876294196533702
means,105946662,0.0016748470647021882
daily,105837757,0.0016731254510511475
beach,105642682,0.0016700416276915519
costs,101090970,0.0015980863500201354
style,101024266,0.0015970318665989975
front,100886343,0.0015948515248369803
parts,100637505,0.0015909177945427086
early,100013194,0.001581048437395701
miles,100012522,0.0015810378141518325
sound,100010833,0.0015810111137665739
works,98581698,0.001558418778013578
rules,97658641,0.001543826725014279
final,97649084,0.0015436756441487265
adult,97583096,0.0015426324795409963
thing,97451660,0.001540554686860787
cheap,97049762,0.0015342013230746803
third,95489240,0.0015095319692530074
gifts,95412416,0.0015083175048378975
cover,94501729,0.001493921001729452
often,92551460,0.0014630903719732291
watch,92006970,0.0014544828570119772
deals,91189968,0.0014415673637276697
words,90910143,0.0014371437785855507
linux,90854231,0.0014362598994022535
james,90535679,0.0014312241024070163
heart,90249265,0.0014266963557264308
error,89396475,0.0014132151114725309
clear,88447610,0.0013982150753218058
makes,87829598,0.001388445295277667
india,87391857,0.0013815253110600442
taken,87019836,0.0013756442547993234
known,86395556,0.001365775387712673
cases,86255673,0.0013635640614893727
quick,85584600,0.0013529554720063846
whole,85202530,0.0013469155571479933
later,84857974,0.0013414686785552018
basic,84840226,0.0013411881110966032
shows,84804638,0.0013406255218067337
along,83444756,0.0013191279650829424
among,83431590,0.0013189198317067926
death,83216831,0.001315524835828882
speed,83135749,0.0013142430592524743
brand,82807581,0.0013090552486961665
stuff,81444510,0.0012875072789891957
japan,81110725,0.0012822306726578737
doing,80821946,0.0012776655391145665
loans,80821333,0.0012776558485662161
shoes,80755612,0.0012766169048009158
entry,80717798,0.001276019126015732
notes,79958318,0.0012640129634364898
force,79199815,0.0012520222456626933
river,78843808,0.0012463943450973746
album,77914316,0.0012317005650529956
views,77333335,0.001222516185817926
plans,77295630,0.0012219201301481909
build,77203075,0.0012204569838144867
types,77070740,0.0012183649793839236
lines,76806341,0.0012141852545988218
apply,76341478,0.0012068365149939947
asked,75532722,0.0011940513777646566
cross,74230978,0.001173472889719477
weeks,73571749,0.0011630515349096713
lower,72606927,0.0011477992441422651
union,72603888,0.0011477512024188777
names,71918906,0.0011369227339195697
leave,70957750,0.001121728396741482
teens,70859771,0.0011201795056536962
woman,70613606,0.0011162880312089193
cable,70082598,0.0011078936450777794
score,69315004,0.0010957592131521845
shown,68755779,0.0010869187614373575
flash,68391647,0.0010811624176333013
ideas,67309657,0.0010640578884171083
allow,67052567,0.0010599937072174753
homes,66753480,0.0010552656207012566
super,66703287,0.0010544721497496318
cause,65904680,0.0010418474519578258
focus,65626732,0.0010374535391799052
rooms,65453403,0.001034713485256566
voice,64600528,0.001021230897288784
comes,64256803,0.0010157971554752405
brown,64112042,0.001013508715883502
forms,63561604,0.0010048071725672948
glass,63559754,0.0010047779270298592
happy,63471922,0.0010033894437628081
smith,63357901,0.001001586954344459
thank,63234550,0.0009996369725670429
prior,62949059,0.0009951238170383778
sport,62683851,0.0009909313032587976
ready,62667516,0.0009906730730674404
round,61836702,0.0009775392341814784
built,61502894,0.0009722622642569884
blood,61348302,0.0009698184122984769
earth,61059905,0.0009652593175634402
basis,59901425,0.0009469456039372744
award,59652161,0.0009430051392651931
peter,59541743,0.0009412596075070497
extra,59377307,0.0009386601376725837
pussy,59206591,0.0009359613910948227
rated,59102029,0.000934308433318962
quite,58777731,0.0009291818012652896
horse,58453720,0.0009240597062220194
stars,58352743,0.0009224634215551893
lists,58249254,0.0009208274261910413
owner,58189056,0.0009198757922112851
takes,57784233,0.0009134761888592329
